,body,climate_control,color,cruise_control,defects,door_count,driver_side,drivetrain,electric_windows,engine,engine_power,first_registration_country,fuel,gear_count,gearbox,gps,inspection,leather_seats,manufacturer,model,price,seats,year
10375,other,,,,,4/5,1.0,FWD,1.0,2.5l.,75.0,,diesel,5.0,0.0,,2020-04,1.0,Volkswagen,Caravelle,2500,9.0,2002
10376,other,,,,,4/5,1.0,FWD,1.0,1.9l.,74.0,D,diesel,,0.0,,,,Volkswagen,Touran,2500,5.0,2003
10377,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,85.0,,diesel,,0.0,,,1.0,Toyota,Avensis,2500,5.0,2005
10378,other,,,,,4/5,1.0,,,1.9l.,,,diesel,,0.0,,,,Fiat,Ducato,2500,,2006
10379,avant,,,,,4/5,1.0,FWD,,2.2l.,130.0,,diesel,6.0,0.0,,2020-02,,Toyota,Avensis,2500,5.0,2005
10380,sedan,1.0,,1.0,,4/5,1.0,RWD,1.0,2.9l.,135.0,,diesel,,1.0,,2021-05,1.0,BMW,330,2500,5.0,2001
10381,sedan,1.0,,1.0,,4/5,1.0,FWD,1.0,2.3l.,118.0,,petrol,6.0,1.0,,2019-08,,Ford,Mondeo,2500,5.0,2008
10382,suv,,,1.0,,2/3,1.0,AWD,,2.2l.,100.0,,diesel,6.0,0.0,,2020-09,,Nissan,X-Trail,2500,5.0,2005
10383,other,1.0,,1.0,,4/5,1.0,FWD,1.0,2.8l.,150.0,D,petrol/lpg,6.0,0.0,1.0,2019-08,,Volkswagen,Sharan,2500,5.0,2001
10384,avant,1.0,,,,4/5,1.0,AWD,1.0,2.0l.,103.0,,diesel,6.0,0.0,,2019-09,,Volkswagen,Passat,2500,5.0,2006
10385,avant,1.0,,,,4/5,1.0,RWD,1.0,3.0l.,142.0,D,diesel,,1.0,,2020-12,1.0,BMW,530,2500,5.0,2003
10386,avant,,,,,4/5,1.0,FWD,1.0,2.4l.,75.0,,diesel,6.0,0.0,,2020-06,,Volkswagen,Multivan,2500,7.0,1996
10387,sedan,1.0,,1.0,,4/5,1.0,AWD,1.0,2.5l.,132.0,D,diesel,6.0,0.0,,2020-03,1.0,Audi,A4,2500,5.0,2001
10388,sedan,1.0,,1.0,,4/5,1.0,RWD,1.0,4.4l.,210.0,,petrol,,1.0,,2020-07,1.0,BMW,540,2500,,1998
10389,other,,,,,4/5,1.0,,,2.2l.,,,diesel,,0.0,,,,Toyota,Corolla Verso,2500,,2007
10390,hatchback,,,,,2/3,1.0,,,1.8l.,,,petrol,,0.0,,,,BMW,316,2500,,1994
10391,avant,1.0,,,,4/5,1.0,FWD,1.0,2.0l.,85.0,,diesel,5.0,0.0,,,,Toyota,Avensis,2500,5.0,2005
10392,hatchback,,,,,4/5,1.0,,1.0,1.4l.,,,diesel,,0.0,,,,Nissan,Note,2500,,2008
10393,sedan,,,,,4/5,1.0,AWD,1.0,2.5l.,132.0,,diesel,6.0,0.0,,2021-03,1.0,Audi,A4,2500,5.0,2001
10394,hatchback,1.0,,1.0,,4/5,1.0,AWD,1.0,2.0l.,116.0,LT,petrol,,0.0,,2021-03,,Subaru,Forester,2500,5.0,2005
10395,avant,1.0,,1.0,,4/5,1.0,,1.0,2.0l.,100.0,,diesel,,0.0,1.0,,,Volvo,V50,2500,,2005
10396,avant,,,,,4/5,1.0,AWD,,2.4l.,142.0,LT,petrol/lpg,,1.0,,2021-03,,Volvo,XC 70,2500,5.0,2001
10397,other,,,,,4/5,1.0,FWD,1.0,1.3l.,62.0,D,petrol/lpg,,1.0,,2020-12,,Toyota,Yaris Verso,2500,5.0,2003
10398,avant,1.0,,1.0,,4/5,1.0,RWD,1.0,2.2l.,110.0,,diesel,,1.0,1.0,2020-03,1.0,Mercedes-Benz,E 220,2500,5.0,2004
10399,other,1.0,,1.0,,4/5,1.0,FWD,1.0,3.5l.,186.0,,petrol/lpg,4.0,1.0,,2020-10,,Chrysler,Pacifica,2500,6.0,2005
10400,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,85.0,,diesel,,0.0,,,,Toyota,Corolla Verso,2500,6.0,2005
10401,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,85.0,D,diesel,5.0,0.0,,2020-02,,Toyota,Avensis,2500,5.0,2003
10402,avant,,,1.0,,4/5,1.0,,1.0,2.4l.,120.0,,diesel,,1.0,,,,Volvo,V70,2500,,2005
10403,sedan,,,,,4/5,1.0,FWD,,1.9l.,96.0,,diesel,,0.0,,,,Audi,A4,2500,,2003
10404,sedan,1.0,,1.0,,4/5,1.0,RWD,1.0,3.0l.,142.0,,diesel,5.0,1.0,,2019-05,,BMW,530,2500,,2002
10405,other,,,,,4/5,1.0,FWD,1.0,2.2l.,,D,diesel,5.0,0.0,,2019-10,,Citroen,Jumper,2500,3.0,2005
10406,avant,,,1.0,,4/5,1.0,AWD,1.0,2.0l.,101.0,D,petrol/lpg,5.0,0.0,,2021-04,1.0,Subaru,Legacy,2500,5.0,2005
10407,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,100.0,D,diesel,6.0,0.0,,2020-10,,Peugeot,407,2500,5.0,2005
10408,sedan,,,,,4/5,1.0,FWD,,2.2l.,85.0,,petrol,,0.0,,2021-02,,Audi,90,2500,,1984
10409,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,110.0,,diesel,,1.0,1.0,2020-01,1.0,Saab,9-3,2500,5.0,2006
